Hash,Shader Type,Function,Call Location,"Live""""Registers",###ERROR###,Total Samples,"Execution""""Region",Avg. Warp Latency,Top Stall #1 (Type),Top Stall #1 (% Samples),Top Stall #2 (Type),Top Stall #2 (% Samples),Top Stall #3 (Type),Top Stall #3 (% Samples),Total Instruction Mix,Total SB Producer Samples,"Instructions""""Executed","Thread Instructions""""Executed","Thread Instructions""""Executed Pred On","Active Threads""""Per Warp"
,,"unpack_gi_reservoir(class vector<float,4>,class vector<float,4>,class vector<float,4>)","path_tracer_core.hlsl:653""""path_tracer_core.hlsl:678",0,0,0,,0,SELECT,0,NOTSEL,THDBAR,,,0,0,0,0
,,"pack_gi_reservoir(struct GI_Reservoir,class vector<float,4> &,class vector<float,4> &,class vector<float,4> &)",path_tracer_core.hlsl:709,0,0,0,,0,SELECT,0,NOTSEL,THDBAR,,,0,0,0,0
--,Ray Tracing Shader,[Ray Tracing Traversal],<No File Name>:0,0,0.06661245242848968,0.06661245242848968,--,1278095.9791884003,LGSB,0.8600437495164343,WAIT,MIOT,,,0,0,0,0
0xec2a835a281706c7,Ray Generation,"ClosestHit(struct RayPayload,struct BuiltInTriangleIntersectionAttributes)",hit.hlsl:128,84,0.035852926256974865,0.035852926256974865,--,1279745.0880043043,LGSB,0.6668714008171942,NOINST,WAIT,450,616884,0,0,0,0
,,[Self: ClosestHit],--,84,0,0.027608655453575454,,985786.1877141971,LGSB,0.6344567762956929,NOINST,WAIT,227,616884,0,0,0,0
,,"sRGBToLinear(class vector<float,3>)","hit.hlsl:218""""hit.hlsl:267",58,0.006882407474505668,0.006882407474505668,,245404.85512044647,LGSB,0.9288599437233367,WAIT,NOINST,12,704,0,0,0,0
,,"GetNormalFromMap(class vector<float,2>,class vector<float,3>,class vector<float,4>,int)",hit.hlsl:251,62,0.0010148380632054514,0.0010148380632054514,,36177.41463541923,NOINST,0.6080332409972299,SHRTSB,BRANCH,37,680,0,0,0,0
,,"DistributionGGX(class vector<float,3>,class vector<float,3>,float)","hit.hlsl:309""""hit.hlsl:323",52,0.00021833542818732243,0.00021833542818732243,,7786.916960787694,NOINST,0.9256080114449213,SELECT,WAIT,18,0,0,0,0,0
,,"SampleTriPlanarNormalLevel0(int,class vector<float,3>,class vector<float,3>,float,float,float)",hit.hlsl:250,67,4.32610254705925e-05,4.32610254705925e-05,,1542.901286221882,WAIT,0.6823104693140795,SELECT,NOTSEL,74,0,0,0,0,0
,,[Self: SampleTriPlanarNormalLevel0],--,67,0,4.32610254705925e-05,,1542.901286221882,WAIT,0.6823104693140795,SELECT,NOTSEL,54,0,0,0,0,0
